name,id,url,ingredients
tamarind_rice_or_puliyodharai_recipe_tamilnadu_style_puliyodharai_recipe_pulikachal_recipe,HFO:IND-['MK']-P01-0004705,https://www.masalakorb.com/tamarind-rice-or-puliyodharai-recipe/,"['oil', 'dry_red_chillies', 'chana_dal', 'urad_dal', 'file:/indian_food_ontology.owl#fenugreek_seeds', 'file:/indian_food_ontology.owl#coriander_seeds', 'file:/indian_food_ontology.owl#asafoetida', 'file:/indian_food_ontology.owl#curry_leaves', 'tamarind', 'green_chillies', 'file:/indian_food_ontology.owl#turmeric_powder', 'salt', 'jaggery_sugar', 'file:/indian_food_ontology.owl#mustard_seeds', 'cashew_nuts', 'peanuts', 'sona_masoori_rice', 'tamarind_paste']"
ulli_theeyal_recipe_kerala_style_onion_curry_kerala_style_onam_sadya_recipe_ulli_curry,HFO:IND-['MK']-P01-0004706,https://www.masalakorb.com/ulli-theeyal-recipe-kerala-style-onion-curry/,"['file:/indian_food_ontology.owl#coconut_oil', 'dry_red_chillies', 'file:/indian_food_ontology.owl#coriander_seeds', 'file:/indian_food_ontology.owl#cumin_seeds', 'black_pepper', 'file:/indian_food_ontology.owl#curry_leaves', 'shallots', 'garlic_pods', 'fresh_coconut_grate', 'kashmiri_red_chilli_powder_optional', 'file:/indian_food_ontology.owl#sunflower_oil', 'file:/indian_food_ontology.owl#mustard_seeds', 'file:/indian_food_ontology.owl#fenugreek_seeds', 'file:/indian_food_ontology.owl#asafoetida', 'shallots_china_vengayam', 'file:/indian_food_ontology.owl#turmeric_powder', 'thick_tamirind_extract', 'jaggery_powder', 'water']"
bitter_gourd_stir_fry_or_kakarakaya_fry_how_to_make_bitter_gourd_fry_without_bitterness_easy_karela_fry_recipe,HFO:IND-['MK']-P01-0004707,https://www.masalakorb.com/bitter-gourd-stir-fry-or-kakarakaya-fry/,"['bitter_gourds', 'salt', 'file:/indian_food_ontology.owl#turmeric_powder', 'sour_yoghurt', 'oil', 'file:/indian_food_ontology.owl#mustard_seeds', 'file:/indian_food_ontology.owl#cumin_seeds', 'dry_red_chillies', 'onion', 'garlic_pods', 'file:/indian_food_ontology.owl#curry_leaves', 'red_chilli_powder', 'coriander_powder', 'amchur_powder', 'jaggery_or_sugar', 'coriander']"
pappu_charu_andhra_style_how_to_make_pappu_charu_in_cooker_andhra_sambar_recipe_south_indian_lentil_soup,HFO:IND-['MK']-P01-0004708,https://www.masalakorb.com/pappu-charu-andhra-style-south-indian-lentil-soup/,"['tur_dal', 'water', 'tomato', 'coriander', 'file:/indian_food_ontology.owl#curry_leaves', 'file:/indian_food_ontology.owl#turmeric_powder', 'red_chilli_powder', 'green_chillies', 'small_sized_onions', 'file:/indian_food_ontology.owl#drumstick', 'tamarind', 'salt', 'sugar_or_jaggery', 'oil_or_ghee', 'garlic', 'dry_red_chillies', 'file:/indian_food_ontology.owl#mustard_seeds', 'file:/indian_food_ontology.owl#cumin_seeds', 'file:/indian_food_ontology.owl#asafoetida']"
poornam_boorelu_recipe_how_to_prepare_poornalu_purnam_burelu,HFO:IND-['MK']-P01-0004709,https://www.masalakorb.com/poornam-boorelu-recipe-poornalu-burelu/,"['urad_dal_black_gram_dal', 'raw_rice_regular_sona_masoori', 'salt', 'split_bengal_gram_chana_dal', 'water', 'desiccated_coconut', 'powdered_jaggery', 'cardamom_powder', 'required_oil_for_deep_frying']"
instant_thandai_powder_recipe_how_to_make_thandai_thandai_masala_powder_thandai_indian_drink,HFO:IND-['MK']-P01-0004710,https://www.masalakorb.com/instant-thandai-powder-recipe-thandai-drink/,"['whole_almonds', 'whole_cashew_nuts', 'pistachio', 'black_peppercorns', 'whole_green_cardamom', 'white_poppy_seeds', 'fennel_seeds', 'melon_seeds', 'saffron', 'dried_rose_petals', 'turmeric_powder_optional', 'cinnamon_powder_optional', 'milk', 'thandai_powder', 'sugar_jaggery_or_any_sweetener']"
easy_mysore_bonda_recipe_maida_bonda_mysore_bajji_street_style_goli_baje,HFO:IND-['MK']-P01-0004711,https://www.masalakorb.com/mysore-bonda-mysore-bajji-maida-bonda/,[]
methi_dosa_recipe_vendhaya_dosai_fenugreek_dosa_menthya_dosa_menthulu_dosa_soft_spongy_dosa_recipe,HFO:IND-['MK']-P01-0004712,https://www.masalakorb.com/methi-dosa-recipe-vedhaya-dosa/,"['parboiled_rice', 'raw_rice', 'file:/indian_food_ontology.owl#fenugreek_seeds', 'urad_dal', 'poha', 'salt', 'oil']"
malai_kofta_recipe_restaurant_style_aloo_paneer_kofta_curry_recipe_how_to_make_malai_kofta_at_home,HFO:IND-['MK']-P01-0004713,https://www.masalakorb.com/malai-kofta-recipe-restaurant-style/,"['mashed_and_boiled_potatoes', 'grated_paneer', 'ginger', 'garlic_pods', 'green_chillies', 'coriander', 'salt', 'baking_soda', 'cornstarch', 'oil', 'file:/indian_food_ontology.owl#ghee', 'bay_leaf', 'cinnamon_sticks', 'file:/indian_food_ontology.owl#cloves', 'whole_green_cardamoms', 'black_pepper', 'file:/indian_food_ontology.owl#cumin_seeds', 'onions', 'garlic', 'tomatoes', 'cashews', 'file:/indian_food_ontology.owl#turmeric_powder', 'kashmiri_red_chilli_powder', 'coriander_powder', 'sugar', 'kasuri_methi', 'heavy_cream']"
malabar_paal_cake_recipe_wheat_flour_milk_cake_kerala_milk_cake_paal_cake,HFO:IND-['MK']-P01-0004714,https://www.masalakorb.com/paal-cake-recipe-kerala-milk-cake/,"['egg_food', 'file:/indian_food_ontology.owl#ghee', 'powdered_sugar', 'baking_soda', 'salt', 'vanilla_sugar_or_1_tsp_vanilla_essence_optional', 'wheat_flour', 'milk_powder', 'milk_as_needed_to_knead', 'sugar', 'water', 'cardamom_powder', 'file:/indian_food_ontology.owl#lemon_juice']"
punjabi_rajma_masala_recipe_kidney_beans_curry_rajma_chawal_recipe_rajma_curry_recipe,HFO:IND-['MK']-P01-0004715,https://www.masalakorb.com/punjabi-rajma-masala-kidney-beans-curry/,"['kidney_beans_rajma', 'bay_leaf', 'cinnamon_stick', 'file:/indian_food_ontology.owl#cloves', 'salt']"
easy_lemon_pepper_chicken_indian_style_how_to_make_juicy_lemon_pepper_chicken_dry_fry_pepper_chicken_fry,HFO:IND-['MK']-P01-0004716,https://www.masalakorb.com/lemon-pepper-chicken-indian-style/,"['chicken_drumsticks', 'salt', 'crushed_pepper', 'file:/indian_food_ontology.owl#lemon_juice', 'thick_yogurt', 'ginger_garlic_paste', 'oil', 'butter', 'green_cardamom_pods', 'bay_leaves', 'file:/indian_food_ontology.owl#cloves', 'cinnamon_stick', 'ginger', 'garlic', 'file:/indian_food_ontology.owl#coriander_leaves', 'plain_yogurt', 'green_chillies', 'garam_masala_powder']"
pala_munjalu_recipe_andhra_style_semolina_dumpling_with_lentil_filling_how_to_make_paala_munjalu_sweet_pala_munjalu_traditional_indian_sweet,HFO:IND-['MK']-P02-0004722,https://www.masalakorb.com/pala-munjalu-recipe-andhra-sweet/,"['channa_dal_split_bengal_gram_or_chanaga_pappu', 'water', 'desiccated_coconut', 'powdered_jaggery', 'water_for_jaggery_syrup', 'cardamom_powder', 'milk', 'semolina', 'file:/indian_food_ontology.owl#ghee', 'salt', 'sugar', 'required_oil_for_deep_frying', 'some_oil_ghee_to_grease_your_hands']"
how_to_make_thattu_vadai_thattai_murukku_recipe_thattai_snack_recipe_thattai_vadai_south_indian_thattai_recipe_thattu_vadai_recipe,HFO:IND-['MK']-P02-0004723,https://www.masalakorb.com/how-to-make-thattu-vadai-thattai-murukku/,"['rice_flour', 'roasted_gram_flour_pottu_kadalai_mavu', 'roasted_urad_dal_flour', 'chana_dal_and_moong_dal_mixed_soaked_in_water', 'hot_oil_or_unsalted_butter_room_temperature', 'sesame_seeds', 'file:/indian_food_ontology.owl#cumin_seeds', 'red_chilli_powder', 'file:/indian_food_ontology.owl#asafoetida', 'salt', 'curry_leaves_finely_chopped', 'water']"
ghee_mysore_pak_recipe_how_to_make_mysore_pak_recipe_of_mysore_pak_easy_soft_mysore_pak_recipe_sree_krishna_sweets_mysore_pak_diwali_special_sweet,HFO:IND-['MK']-P02-0004724,https://www.masalakorb.com/ghee-mysore-pak-recipe-soft-mysore-pak/,"['chickpea_flour_besan', 'milk_powder', 'file:/indian_food_ontology.owl#ghee', 'sugar', 'water']"
crispy_chegodilu_recipe_ring_murukku_pappu_chegodilu_recipe_how_to_make_chegodilu_chakodi_diwali_special_snack,HFO:IND-['MK']-P02-0004725,https://www.masalakorb.com/chegodilu-recipe-ring-murukku-chakodi/,"['chana_dal', 'rice_flour', 'chickpea_flour', 'semolina', 'hot_oil', 'file:/indian_food_ontology.owl#cumin_seeds', 'sesame_seeds', 'ajawain', 'salt', 'water', 'file:/indian_food_ontology.owl#turmeric_powder', 'red_chilli_powder']"
best_badusha_recipe_balushahi_sweet_how_to_make_badusha_at_home_recipe_for_badusha_or_badhusha_recipe,HFO:IND-['MK']-P02-0004726,https://www.masalakorb.com/best-badusha-recipe-balushahi-badhusha/,"['maida', 'baking_powder', 'cooking_soda', 'salt', 'curd', 'butter_ghee', 'hot_oil', 'water', 'sugar', 'file:/indian_food_ontology.owl#lemon_juice', 'cardamom_powder', 'required_oil_to_deep_fry']"
